"","beta0","betaTime","betaTime2","betaTime3","betaTime4","betaTime5","betaTime6"
"Dm_00008770-RA",3.41025591489402,0,-1.70425374978379e-05,4.51514045387916e-08,-3.82699798458674e-11,1.23749855661379e-14,-1.32497659831803e-18
"Dm_00009413-RA",3.53577241391124,0.0195386221088461,-0.00013582923357071,2.66469026884594e-07,-2.01783838441246e-10,6.18998905390975e-14,-6.4445802206897e-18
"Dm_00010290-RA",2.70810359795702,0.00563422547769994,-1.63707345918012e-05,1.45401682938009e-08,-4.81860480377682e-12,5.22937979725396e-16,0
"Dm_00009774-RA",4.02941919143668,0.0223093922975546,-0.00014732545375039,2.84415891221461e-07,-2.13924628900889e-10,6.54077334521489e-14,-6.79745550741521e-18
"Dm_00009771-RA",0,0.0115661809821444,-1.35022762879331e-05,5.22392269397937e-09,-6.20050441993492e-13,0,0
"Dm_00008773-RA",4.07313313671846,0,0,-1.99958782579373e-10,1.15379900726507e-13,-1.62929089578086e-17,0
"Dm_00008876-RA",3.86853152374678,0,-4.87315009800619e-06,5.96217356080432e-09,-2.23461614669846e-12,2.57505650434714e-16,0
"Dm_00009129-RA",3.6403430058604,0,3.62218185470919e-06,-4.37028483459261e-09,1.63405160013272e-12,-1.88411869392968e-16,0
"Dm_00007971-RA",4.6578716605794,-0.0249222173168386,0.000184573509811733,-3.69577132309188e-07,2.82346434026585e-10,-8.69905561222861e-14,9.07821820871295e-18
"Dm_00009483-RA",4.59223794623624,0.00088023889063532,0,0,-5.65369011181926e-13,3.05455161215701e-16,-4.08234720838732e-20
"Dm_00009192-RA",3.41757278353543,0,9.46412006597661e-06,-1.07375784662508e-08,3.89720163776678e-12,-4.42611520386627e-16,0
"Dm_00016139-RA",3.35220549358781,-0.0306258889409827,0.000245701573348601,-5.04328890906788e-07,3.88900307932123e-10,-1.20296372204144e-13,1.25780773122676e-17
"Dm_00015341-RA",4.45527294685285,0,5.54061193944286e-06,-6.38566797722925e-09,2.3411178355147e-12,-2.67271305411785e-16,0
"Dm_00016305-RA",4.92072295677143,-0.00987749370932476,7.10116866192739e-05,-1.41197077524032e-07,1.07712956709097e-10,-3.31762557579769e-14,3.46212605758323e-18
"Dm_00015350-RA",4.06613531640139,0,-2.01782999039669e-05,5.09049263499428e-08,-4.21269289898689e-11,1.34501132200162e-14,-1.42969365343756e-18
"Dm_00016618-RA",3.56138328289037,-0.00387024073292512,1.19440291831114e-05,-1.08794185688196e-08,3.65204486854271e-12,-3.99300394340739e-16,0
"Dm_00011011-RA",7.76064601975965,0,5.46309623397312e-06,-6.53690403597708e-09,2.43002251231278e-12,-2.7904336586446e-16,0
"Dm_00011170-RA",6.83928568226803,0,2.13106737436408e-06,-2.68341215127099e-09,1.02513137389762e-12,-1.19444130296041e-16,0
"Dm_00011173-RA",4.32886182124567,0.00161455333471814,0,0,-1.32693280452408e-12,7.14208272919663e-16,-9.49529495439936e-20
"Dm_00012261-RA",0,0.116458726182579,-0.000762376333056592,1.45503551817617e-06,-1.08468267618049e-09,3.29827719666591e-13,-3.41651609701759e-17
"Dm_00012260-RA",0,0.166469309471727,-0.00113409194370371,2.22570826961775e-06,-1.68677062366517e-09,5.17668037803973e-13,-5.39082890256114e-17
"Dm_00010496-RA",0,0.0695101960611453,-0.000516078212409229,1.02880955478257e-06,-7.826817920874e-10,2.40460728889073e-13,-2.50487762182437e-17
"Dm_00011719-RA",5.72250744522664,-0.0467984668254293,0.000329363995237468,-6.499146907542e-07,4.93167491603217e-10,-1.51390547410519e-13,1.57652385112009e-17
"Dm_00010398-RA",4.4437042954107,0.0487722283094614,-0.000364273621729125,7.33883158407434e-07,-5.621960968648e-10,1.73422499461962e-13,-1.81089491280731e-17
"Dm_00010752-RA",5.16799383701441,0,0,2.94171817216418e-09,-3.6514678163955e-12,1.36901276813244e-15,-1.576135738425e-19
"Dm_00009648-RA",2.93595686558301,0,5.96714980654028e-06,-7.05609602132395e-09,2.61271794123678e-12,-2.9989916003629e-16,0
"Dm_00011892-RA",4.37896707442226,0.0012326400974628,0,0,-7.07784681773852e-13,3.74247721207452e-16,-4.93436980069262e-20
"Dm_00011074-RA",4.6698050737977,0.0103897201987255,-1.83656584212507e-05,0,1.22358719452633e-11,-5.62189521204879e-15,6.91513390252409e-19
"Dm_00011159-RA",5.7599487828807,0.0066669161470039,-2.10575927340782e-05,1.90876974276099e-08,-6.40805846873559e-12,7.01741518126863e-16,0
"Dm_00010526-RA",2.67889232150836,-0.0141661397865811,3.35642766667767e-05,-2.82592111466787e-08,9.17294044690914e-12,-9.88262001952278e-16,0
"Dm_00012073-RA",3.82356766618075,0.0552025649725393,-0.000317072020124458,5.89011589781351e-07,-4.36437081030358e-10,1.32530697592048e-13,-1.37246772949527e-17
"Dm_00019259-RA",3.76263591767937,0,0,-2.54745260733564e-09,3.34382397240399e-12,-1.27842806861468e-15,1.48441746008966e-19
"Dm_00017728-RA",2.22621376111685,-0.026514843440812,0.00018172959787832,-3.54680646911534e-07,2.67439844474025e-10,-8.18068768740405e-14,8.5014530853692e-18
"Dm_00018648-RA",4.75399913330444,-0.00259867479429315,0,2.54916626822317e-09,-1.21920869788487e-12,1.51752916429335e-16,0
"Dm_00018647-RA",5.29211982344377,0.045212902603779,-0.000389297571353136,8.03458395102073e-07,-6.18850753861262e-10,1.91156125797794e-13,-1.99672301273078e-17
"Dm_00018838-RA",4.94240982040165,-0.0095446310232135,5.87465411458165e-05,-1.10493877250633e-07,8.20824086886618e-11,-2.49347316885097e-14,2.58185513682901e-18
"Dm_00018756-RA",0.866582655887568,0,6.10123341749931e-06,-7.83102442087988e-09,3.02209416860012e-12,-3.54513781934751e-16,0
"Dm_00018264-RA",4.36577498490917,-0.0897029674833847,0.000634669887092613,-1.28662371563893e-06,9.93305551113946e-10,-3.07959728387578e-13,3.2257096825829e-17
"Dm_00016992-RA",4.60003884492603,0,0,-5.25690413711609e-11,9.96556759452207e-15,0,0
"Dm_00017385-RA",0,0.0489139633019512,0,-1.64974268838007e-07,1.71504175071365e-10,-5.89804138062616e-14,6.47821054748507e-18
"Dm_00018803-RA",3.40722499248412,0.00870294292782919,0,-3.60212931970427e-08,3.9082423978012e-11,-1.37752946126242e-14,1.53559462008846e-18
"Dm_00018915-RA",3.2425105244484,0,0,-6.1175608068557e-11,0,0,0
"Dm_00016896-RA",2.99315302843236,-0.0168064904797574,0.000152673033683041,-3.26589232611731e-07,2.56762639769092e-10,-8.0215322480339e-14,8.43376813513948e-18
"Dm_00018846-RA",6.00312364272656,0.00175801807788805,-1.1719395946191e-06,0,0,5.9748791857464e-17,-1.14908120170662e-20
"Dm_00018843-RA",3.61790708024602,0,0,2.46652229712534e-09,-2.96957154982624e-12,1.09583447230733e-15,-1.25092436011694e-19
"Dm_00015273-RA",3.3864714955543,0.0464047916400837,-0.000312843191553249,6.3104593701582e-07,-4.87804190053124e-10,1.51462188137459e-13,-1.5882060461105e-17
"Dm_00018806-RA",3.9712925579181,-0.0143362825732316,9.60998674029077e-05,-1.87488829031536e-07,1.41624500375494e-10,-4.33868325190549e-14,4.51360678545887e-18
"Dm_00018660-RA",3.02364283234068,-0.0176707537988517,0.000119308129614123,-2.34625177351929e-07,1.78084381543285e-10,-5.47025780495501e-14,5.69952977983541e-18
"Dm_00017025-RA",4.9503244911844,0.0138288014475263,-0.00010078707581662,2.01443809104969e-07,-1.53538903180962e-10,4.72146441266638e-14,-4.92058920784691e-18
"Dm_00016188-RA",3.38551933867639,0,1.51256670085261e-05,-1.79320661924745e-08,6.50798385900218e-12,-7.33521608373664e-16,0
"Dm_00005516-RA",4.77424070378877,-0.0342073444216342,0.000320576682647827,-6.7360237292646e-07,5.24334899134115e-10,-1.62977276225276e-13,1.70880046906175e-17
"Dm_00005520-RA",3.04076822548598,0.0243604038688651,-0.000164846394400944,3.19379074346917e-07,-2.40186232844842e-10,7.33994399524146e-14,-7.62492662389396e-18
"Dm_00005515-RA",5.0249355687775,-0.031993676065334,0.000302475228331683,-6.38052088415134e-07,4.97635393624006e-10,-1.54834429194909e-13,1.62432812504635e-17
"Dm_00006860-RA",0,0.0134625748341063,0,-4.78403577628806e-08,5.08952600968551e-11,-1.77420816079663e-14,1.96466537640611e-18
"Dm_00006760-RA",4.8628831228397,0,-1.84612160128903e-06,2.20908892332172e-09,-8.28235683304802e-13,9.57123264752894e-17,0
"Dm_00006155-RA",4.75015826741739,-0.000298660839208436,0,0,0,0,0
"Dm_00006179-RA",1.62035405335451,0.00867429179402765,-5.35363582511481e-06,0,0,2.70663821073707e-16,-5.23980263715878e-20
"Dm_00005580-RA",2.01980721010921,0,2.87007778477659e-05,-7.40807910525445e-08,6.18558606704071e-11,-1.98351887421765e-14,2.11346930786584e-18
"Dm_00005708-RA",4.93147160479817,0.00429205595706403,-3.16469538694421e-06,0,4.45876750420512e-13,-7.49944799535036e-17,0
"Dm_00006224-RA",4.1248327482046,0.0116604611511367,-8.12044392512692e-05,1.60749948023236e-07,-1.22456294469448e-10,3.76969465243655e-14,-3.93302318805836e-18
"Dm_00006219-RA",5.61847321038084,0.0315262421029286,-0.000221032483426467,4.36818868247395e-07,-3.31747439064779e-10,1.01893628322023e-13,-1.06147024671974e-17
"Dm_00006393-RA",3.32537073794845,-0.00456567676607339,1.22065107788511e-05,-1.1088201051962e-08,3.74614852425753e-12,-4.11985224165708e-16,0
"Dm_00006175-RA",4.66605405261938,0.0175676816254532,-0.000111265796050842,2.15886617855378e-07,-1.63460273796147e-10,5.02021319666587e-14,-5.23199009368342e-18
"Dm_00006177-RA",4.76633584563034,0,-2.85204016149546e-06,4.03264641542379e-09,-1.61866265638494e-12,1.93239892451314e-16,0
"Dm_00006404-RA",3.37561448090623,0,0.000128395718018975,-3.18967070617367e-07,2.61541244548743e-10,-8.30719414350335e-14,8.80339021940277e-18
"Dm_00005782-RA",4.03405638656193,0.00850575303796834,-2.89885660172407e-05,2.79299302631452e-08,-9.67417491403937e-12,1.07648859197546e-15,0
"Dm_00006917-RA",3.50444533251967,-0.00122563443918364,1.32124067723601e-06,-4.92623019135858e-10,5.71454551668847e-14,0,0
"Dm_00006914-RA",4.36602043061926,0.000118458164311047,0,0,0,0,0
"Dm_00006372-RA",5.15532064380298,-0.00289581449419726,7.31705443201363e-06,-6.12039259084003e-09,1.97948565256837e-12,-2.12240839371573e-16,0
"Dm_00005281-RA",3.20590104364941,0.0110050341858119,-7.80515835159632e-05,1.5332314447353e-07,-1.15973681326197e-10,3.55354422577169e-14,-3.69650853117158e-18
"Dm_00005549-RA",3.34811527395745,0,0,5.39214600705644e-11,-9.80799123734511e-15,0,0
"Dm_00006579-RA",3.2471749925655,0,2.61062001088498e-08,0,0,0,0
"Dm_00006102-RA",3.95784725410289,0.00917705665747645,-7.26526053411484e-05,1.4808030736673e-07,-1.13966454327269e-10,3.52371927766628e-14,-3.68424206077099e-18
"Dm_00004895-RA",2.56242929375281,0,1.20136411148255e-05,-1.43293009924149e-08,5.31609550704766e-12,-6.10261171502576e-16,0
"Dm_00005804-RA",3.52562578205177,0.0225382692316828,-0.00018532182092373,3.86755727247392e-07,-3.01339280261299e-10,9.37676042504737e-14,-9.8387009987059e-18
"Dm_00017797-RA",3.94165085465273,0.003001886601061,-3.15426486380733e-06,1.19676328559538e-09,-1.41043840425193e-13,0,0
"Dm_00021072-RA",0,0.0210427665406126,-2.15963430723708e-05,7.883018729513e-09,-9.07743492165393e-13,0,0
"Dm_00011712-RA",5.0263706580682,0.00277064125839636,-3.27245661803895e-06,1.27368742643025e-09,-1.51004274299496e-13,0,0
"Dm_00009066-RA",5.41268931800601,-0.0291939839597189,0.000207792815218966,-4.12574023923026e-07,3.14174104194802e-10,-9.66444301045124e-14,1.00769303543276e-17
"Dm_00011332-RA",5.27799226974818,0,3.8992600284533e-06,-4.66421560943906e-09,1.74048416687071e-12,-2.00650310748301e-16,0
"Dm_00011333-RA",3.52739184493588,0,5.05215052840637e-06,-6.00570390946687e-09,2.22717499007719e-12,-2.5556355339942e-16,0
"Dm_00011381-RA",2.42529891800569,0,6.14438952203292e-06,-6.77129320851000e-09,2.43309634908862e-12,-2.75015756499519e-16,0
"Dm_00011201-RA",1.80105733777391,-0.0149658302001387,0.0001079865863278,-2.14864800118231e-07,1.63823128395922e-10,-5.04344611235526e-14,5.26144746928085e-18
"Dm_00010505-RA",3.23482153151679,0.0145281185983315,-3.80030766735884e-05,3.28223741266084e-08,-1.07889915233934e-11,1.16806168159983e-15,0
"Dm_00011452-RA",4.23429377925793,0,-1.11838315653517e-05,1.36622330001938e-08,-5.12419444049232e-12,5.90850929224439e-16,0
"Dm_00011900-RA",2.71540935526426,0.000333695349943088,0,0,0,0,0
"Dm_00011901-RA",2.34198888750129,0,5.47602263363927e-05,-1.40151391804931e-07,1.16780107646973e-10,-3.74053312757639e-14,3.98261245845409e-18
"Dm_00012445-RA",3.8038973855556,0,1.50776307074954e-05,-4.15387612535981e-08,3.57032609173834e-11,-1.16124872293054e-14,1.24683204699344e-18
"Dm_00012014-RA",3.58831001352776,0.0355143085578439,-0.000241565663376449,4.77193327753708e-07,-3.63500857608778e-10,1.11912090972717e-13,-1.16767779627734e-17
"Dm_00010089-RA",0.788262369547216,0,6.93192989510316e-05,-1.90061318014978e-07,1.63055258366411e-10,-5.29774589970605e-14,5.68454580939325e-18
"Dm_00010864-RA",6.38221563346771,-0.0147435405858572,0.00010166008837474,-2.00531832815909e-07,1.52449408790461e-10,-4.68723903582855e-14,4.88656459509859e-18
"Dm_00009547-RA",0,0.0489396348507745,-9.4944303751122e-05,7.11117478067825e-08,-2.16210348068318e-11,2.23596574193099e-15,0
"Dm_00011642-RA",4.93811068348578,0.0051927647323583,-3.38507596778042e-06,0,0,1.77855514456251e-16,-3.4461735092664e-20
"Dm_00011643-RA",3.98519709453575,-0.023445085459329,0.000158515382070739,-3.12932472276746e-07,2.38374016271291e-10,-7.33936644352288e-14,7.65814625939628e-18
"Dm_00010091-RA",2.86974157545697,0,0,7.40243505681892e-12,0,0,0
"Dm_00010090-RA",2.181229759096,0.0111893343582821,-8.42939385872545e-05,1.70850745079924e-07,-1.31407146591469e-10,4.06378929477104e-14,-4.25011198760043e-18
"Dm_00011580-RA",5.5800734858859,-0.000513715939535581,8.44924849664516e-08,0,0,0,0
"Dm_00015223-RA",3.31019598825845,0,-2.64042435052264e-05,6.89862303857522e-08,-5.77794634326892e-11,1.8544940231721e-14,-1.97654917936795e-18
"Dm_00013162-RA",3.28445306130268,0.00868670041834143,-2.24080663489546e-05,1.93598935598654e-08,-6.42817665583781e-12,7.02289119878673e-16,0
"Dm_00013164-RA",3.73933473055375,0,4.64883799882623e-06,-5.04686065121214e-09,1.43925118101819e-12,0,-2.76965237628166e-20
"Dm_00014995-RA",5.90225432507004,0,0,-1.34388185811479e-10,2.44585213891176e-14,0,0
"Dm_00013505-RA",0,0,6.07188560989422e-05,-1.55568838070482e-07,1.30322311782628e-10,-4.19594533590936e-14,4.48322568447063e-18
"Dm_00014758-RA",4.11252052296609,0.0672188494285249,-0.000510091023750378,1.02461569273542e-06,-7.81942735323126e-10,2.40590368164219e-13,-2.50821051252012e-17
"Dm_00015630-RA",4.85969540743239,0.000964793761035308,0,0,-6.57151467631804e-13,3.55111206176351e-16,-4.74768825445858e-20
"Dm_00014753-RA",4.56647164515354,0,5.45014553515451e-06,-6.55797577834139e-09,2.45811445114693e-12,-2.84069774090019e-16,0
"Dm_00014449-RA",1.358828623864,0.0425628629401442,-0.000234819033113599,4.16730136618049e-07,-3.00638205370501e-10,8.99551427047415e-14,-9.23694051845451e-18
"Dm_00012516-RA",3.32904723428486,-0.0213761067587127,0.000181227597693734,-3.76877772737434e-07,2.92261221729175e-10,-9.06640502470742e-14,9.49515288891378e-18
"Dm_00015695-RA",5.21433660159898,-0.00676879389118645,1.56969840013901e-05,-1.29164014393022e-08,4.12933138441343e-12,-4.40184234141432e-16,0
"Dm_00014668-RA",2.97433444941037,0.0483775178932577,-0.000373259189096791,7.56024845407299e-07,-5.80307114782347e-10,1.79183065550458e-13,-1.87205119386408e-17
"Dm_00014667-RA",1.82509935301604,0.019889860946653,-0.0001470779359705,2.94145413935094e-07,-2.24545655712445e-10,6.91464458258933e-14,-7.21363081797326e-18
"Dm_00015464-RA",3.96198025661902,0.0294709525656658,-0.000201005966913399,3.87006771682545e-07,-2.89550364490877e-10,8.81985045980929e-14,-9.14397541436237e-18
"Dm_00013427-RA",5.1799333809401,-0.0313852835473999,0.000227160404060795,-4.5485571111896e-07,3.47624729812635e-10,-1.07106107348375e-13,1.11764787067083e-17
"Dm_00014692-RA",3.58826518251132,0.00226536203834094,0,0,-1.5020562372149e-12,8.03249181558818e-16,-1.06744297889733e-19
"Dm_00015782-RA",3.6853355207841,0.00300228665820021,0,0,-1.7301855872117e-12,9.24206193781334e-16,-1.22850793516646e-19
"Dm_00015239-RA",6.21698521755571,-0.00330681223007064,7.31409474344567e-06,-6.04418974396332e-09,1.93828706647727e-12,-2.06590535607365e-16,0
"Dm_00014621-RA",3.63584433773588,-0.0302241943503537,0.000226279746101803,-4.55832995529605e-07,3.48990914434505e-10,-1.07607799536818e-13,1.1233311456323e-17
"Dm_00015665-RA",5.10263051629684,0,2.41938875868975e-06,-2.85729455921338e-09,1.06674889461979e-12,-1.23259067140716e-16,0
"Dm_00015505-RA",0,0,6.43322740713233e-05,-1.56920526213009e-07,1.27442151211779e-10,-4.02605883797408e-14,4.25275124664671e-18
"Dm_00005597-RA",1.05471372733117,0.0914504073573766,-0.000601571256630607,1.16583850468582e-06,-8.78603853198666e-10,2.6889625009179e-13,-2.79596722589151e-17
"Dm_00005956-RA",3.23704355555802,0,-3.38134336684912e-06,4.18838814574683e-09,-1.61234304935379e-12,1.89571296874442e-16,0
"Dm_00005376-RA",2.84377626135007,-0.0198239299174545,0.000162776150854432,-3.38990306453392e-07,2.6350099030382e-10,-8.18715453732991e-14,8.58278248719785e-18
"Dm_00005301-RA",2.83921156941878,0.0101031309228706,0,-3.53968668808348e-08,3.74396249087814e-11,-1.30224360582252e-14,1.44078051127863e-18
"Dm_00005298-RA",3.38856711448129,0.00445481383094048,-4.51950076526496e-06,1.68219004851724e-09,-1.95024835696116e-13,0,0
"Dm_00005483-RA",4.79661872227545,0.0154398459064677,-0.000102556176106165,1.97043559603426e-07,-1.47613071961352e-10,4.50213571931918e-14,-4.67187182416284e-18
"Dm_00005337-RA",5.0048289333135,0,1.91663134868262e-07,-3.51782506073757e-11,0,0,0
"Dm_00005285-RA",3.13965128154917,0,8.80446311298465e-06,-1.06415896251149e-08,3.99678321816539e-12,-4.62726066543123e-16,0
"Dm_00005287-RA",5.33558929553921,0,-3.99231727912539e-06,4.80580259520329e-09,-1.81590046253176e-12,2.11213288610311e-16,0
"Dm_00005286-RA",2.27592134814277,-0.036923214258363,0.000268281807298272,-5.44558182467189e-07,4.19928042457147e-10,-1.30074793776506e-13,1.36169291740917e-17
"Dm_00005289-RA",4.03217289623321,-0.000499626702098956,0,0,0,0,0
"Dm_00004988-RA",2.80860990599083,0,7.28078726946079e-05,-1.86975323053137e-07,1.55663620058429e-10,-4.98205231373446e-14,5.30165124468849e-18
"Dm_00004620-RA",4.55467781169477,0.0126164557264882,-8.37676337222083e-05,1.60524819008865e-07,-1.20112344271537e-10,3.66145728300061e-14,-3.79852600337288e-18
"Dm_00006045-RA",4.494889255706,-0.000654749346812386,3.5345928388925e-07,-4.12182371441016e-11,0,0,0
"Dm_00006038-RA",3.49858983884475,0,5.14689559503139e-06,-6.4403763569681e-09,2.44863888308513e-12,-2.85306145124529e-16,0
"Dm_00006044-RA",6.62623517482349,-0.00114887756653955,5.89710810495452e-07,-8.83283465145225e-11,0,0,0
"Dm_00005236-RA",4.07127144652679,0,2.97740360805648e-06,-3.60789680462162e-09,1.36705529204804e-12,-1.59440131184313e-16,0
"Dm_00004643-RA",2.19007139605486,-0.0126767951729347,3.22312891656801e-05,-2.77807054572844e-08,9.0960482540355e-12,-9.82049918491852e-16,0
"Dm_00004635-RA",2.97811561514268,0.0309708203154772,-0.000250808823390952,5.09295887604697e-07,-3.89978124196581e-10,1.20137592512807e-13,-1.25310864336327e-17
"Dm_00004639-RA",3.23851829126244,0,-8.41656644674572e-06,1.0725794763955e-08,-4.13299852160122e-12,4.84727168572963e-16,0
"Dm_00004637-RA",3.88448899992833,0.0349544076410067,-0.000254085978742283,5.03108468363383e-07,-3.81762980274565e-10,1.17144884642697e-13,-1.21949223204551e-17
"Dm_00004630-RA",1.30374339452621,0.0265029654064829,-0.000208986938417937,4.25840457793645e-07,-3.27388469475371e-10,1.01120703132908e-13,-1.0564460491961e-17
"Dm_00005373-RA",2.33203191191427,0,7.92533516822813e-06,-9.76183027542207e-09,3.72691084489975e-12,-4.36129159062237e-16,0
"Dm_00005375-RA",1.85688729131007,0.00557150517859404,-5.37427071968243e-06,1.8933401328764e-09,-2.12244840682585e-13,0,0
"Dm_00005374-RA",1.31807739320337,0,1.90299134109815e-05,-2.26807600190617e-08,8.45827358818714e-12,-9.75454136649682e-16,0
"Dm_00004385-RA",3.71724018050691,-0.00288434584669511,0,0,2.60210760781223e-12,-1.40359861378876e-15,1.8701396659056e-19
"Dm_00005454-RA",4.57402835194145,0,1.64364743911959e-06,-2.14828778929487e-09,8.39063802234956e-13,-9.90567223525518e-17,0
"Dm_00005444-RA",5.12597567957253,0,-3.9158196309171e-06,4.60784617635057e-09,-1.71272336193587e-12,1.97244887475348e-16,0
"Dm_00005452-RA",3.31864737064442,0,0,0,0,4.83153446314175e-18,-1.02033379347828e-21
"Dm_00004839-RA",2.23231204413702,-0.0188910947260325,0.000165833439015101,-3.45743847157792e-07,2.68147023800997e-10,-8.31681324366564e-14,8.70851671964574e-18
"Dm_00004836-RA",4.83325041492897,-0.0291466357492429,0.00020017143047765,-3.95870016733101e-07,3.01431294288289e-10,-9.27625147683654e-14,9.67575490312724e-18
"Dm_00005681-RA",5.53233672979198,-0.0282854881493397,0.000181989870797359,-3.52394299641639e-07,2.65836818046848e-10,-8.14335409331584e-14,8.47287074362912e-18
"Dm_00003959-RA",0,0.0683776610511221,-0.000141921008673529,1.09627843411686e-07,-3.39285042750042e-11,3.54769110313329e-15,0
"Dm_00004943-RA",2.39489169893855,0.0568792750698043,-0.000407003285660111,8.12062893716842e-07,-6.2006472440507e-10,1.91033185934639e-13,-1.9936884299215e-17
"Dm_00005767-RA",4.13520732552929,0.0296989921150578,-0.000231497367621231,4.70822988072406e-07,-3.62028108472826e-10,1.11877722356302e-13,-1.16938308016546e-17
"Dm_00005765-RA",4.33340763238306,0,0,0,0,7.22527928856841e-18,-1.57168736088522e-21
"Dm_00005769-RA",1.30862601996954,0,0,2.24418633845748e-08,-2.77788559424745e-11,1.04151608753614e-14,-1.20026913991738e-18
"Dm_00005369-RA",4.32273744974517,0,2.40325628551678e-05,-6.45091385564612e-08,5.46482776382891e-11,-1.76321841929269e-14,1.88434505695717e-18
"Dm_00004466-RA",4.66074743771075,-0.0302964349786827,0.000257674968704449,-5.33812554096886e-07,4.13147548432054e-10,-1.28033328239349e-13,1.34009927987134e-17
"Dm_00004470-RA",3.9000543973387,0.00573360957540147,-9.84014548492789e-06,0,6.1821208335167e-12,-2.79817761081523e-15,3.40927934827343e-19
"Dm_00004471-RA",3.23347317974794,0.0287005295785534,-0.000191853539424616,3.71278176411374e-07,-2.79277278277728e-10,8.53675828115886e-14,-8.86976370677936e-18
"Dm_00005528-RA",3.57856444020227,0.0521571784565031,-0.000353851788311592,6.92667849508092e-07,-5.24427597970419e-10,1.60879077957013e-13,-1.67500317921099e-17
"Dm_00005535-RA",3.35515462026231,-0.0146719705051898,0.000105534075152897,-2.10252794453049e-07,1.6025326113883e-10,-4.93091766291328e-14,5.141854301713e-18
"Dm_00004800-RA",5.31705745780225,0.00110816810456829,0,0,-7.15958592149288e-13,3.88305167591976e-16,-5.20248708393254e-20
"Dm_00018389-RA",3.65356404065321,0.031375526264587,-0.00018823825583988,3.47228474772217e-07,-2.54860688114269e-10,7.68947475504645e-14,-7.93069668821046e-18
"Dm_00020195-RA",3.79036578611827,0,0,4.38696298527142e-09,-5.62389562409524e-12,2.14771857813347e-15,-2.50045563071188e-19
"Dm_00020348-RA",4.24969571686235,0,0.000110192530719935,-2.60891801067277e-07,2.08495704547562e-10,-6.52978601168354e-14,6.86353221532634e-18
"Dm_00020206-RA",3.09956094724526,-0.099483351840607,0.000744878991062727,-1.50884046729582e-06,1.16008955035208e-09,-3.58628824249052e-13,3.74963436521824e-17
"Dm_00018412-RA",5.23086788605936,0,0,1.55503586048039e-08,-1.86077511606063e-11,6.85580257879261e-15,-7.82339846132579e-19
"Dm_00020635-RA",4.36657069228393,0,2.47297810797326e-06,-2.87046635413203e-09,1.0531127122765e-12,-1.20051682063362e-16,0
"Dm_00020377-RA",1.79201748759034,-0.0663806695606364,0.000543563780390757,-1.14649166664902e-06,8.98722539853083e-10,-2.80579176928277e-13,2.94952859298503e-17
"Dm_00020368-RA",3.92995407836626,0.00077862732548949,0,0,-5.70524862947521e-13,3.07080058660241e-16,-4.09713201826354e-20
"Dm_00020311-RA",1.7354445316424,0.0288120864705104,-0.000201824668274684,4.00635312104809e-07,-3.05409592953167e-10,9.4025309112871e-14,-9.80918673330579e-18
"Dm_00016865-RA",4.25238554615191,-0.0313028635905199,0.000259215250054646,-5.36725721594793e-07,4.16209526449094e-10,-1.29199941453933e-13,1.35389719871283e-17
"Dm_00019791-RA",3.43891173253706,0.0233404380985314,-0.000151778472134957,2.93663208354029e-07,-2.21345742208701e-10,6.77644675763052e-14,-7.04788741381948e-18
"Dm_00001780-RA",5.37789666264921,0,3.42799203839685e-06,-4.1917012208397e-09,1.58044617057458e-12,-1.83048785115753e-16,0
"Dm_00001783-RA",1.54536778989977,0.0104193055758701,-2.57305427805612e-05,2.23244932363457e-08,-7.41438566392118e-12,8.09129612063326e-16,0
"Dm_00001793-RA",2.58978214680149,-0.0495932962960324,0.0003650272876942,-7.41679147747685e-07,5.71600715038785e-10,-1.76943052090002e-13,1.85146747905218e-17
"Dm_00001791-RA",3.43166489915061,0.00587223862560028,-5.4103241254762e-06,1.92471952086792e-09,-2.19864990538682e-13,0,0
"Dm_00001790-RA",0,0.00135295657979714,-1.64839169574082e-07,0,0,0,0
"Dm_00001881-RA",5.57331228833867,-0.0025311376522579,5.73180034186485e-06,-4.78564965139618e-09,1.55191811926649e-12,-1.66965347560405e-16,0
"Dm_00001897-RA",3.74401673807368,0,-6.0713747108468e-06,7.46631389601761e-09,-2.80921112709731e-12,3.2414799896895e-16,0
"Dm_00001300-RA",3.04172691524891,0,0,4.79551942435428e-11,-9.05612197747467e-15,0,0
"Dm_00001307-RA",3.33584137678696,0.00374844432649619,-9.7281003744824e-06,8.15019614785845e-09,-2.62349161001963e-12,2.80242670163945e-16,0
"Dm_00001319-RA",3.4535193831255,0.0976195343941313,-0.000675603276841637,1.32338962554175e-06,-1.00027549993947e-09,3.06427912964036e-13,-3.18740895581936e-17
"Dm_00001309-RA",3.99845687789648,0.0155516198807848,-4.18205747475118e-05,3.6859323904772e-08,-1.22366508326213e-11,1.33172971753332e-15,0
"Dm_00001218-RA",4.01239801508014,0,2.39832347841639e-05,-5.91525312600455e-08,4.83767320743231e-11,-1.53506817424198e-14,1.6260749176157e-18
"Dm_00001225-RA",5.80142601190823,0.00647859621774536,-1.74788643184112e-05,1.52087784233416e-08,-5.01247114168264e-12,5.43297009747442e-16,0
"Dm_00001931-RA",0,0,0.000155896110744363,-3.94269891865523e-07,3.26432827309366e-10,-1.04234379996497e-13,1.10799170216088e-17
